dkp,product_name,description,classes,stocked
3270029, آینه جیبی طرح استیکر کد ACZ_019,,"['زیبایی و سلامت', 'لوازم آرایشی', 'آرایش صورت', 'برس ها و تجهیزات آرایشی صورت']",True
3270030,مخزن شیشه شوی دیناپارت کد 205030 مناسب برای ال90,,"['خودرو، ابزار و تجهیزات صنعتی', 'لوازم جانبی خودرو', 'سایر لوازم خودرو']",False
3270031,ست کالسکه و کریر ورسا کد 1086,,"['اسباب بازی، کودک و نوزاد', 'گردش و سفر', 'کالسکه و کریر']",True
3270032,پوستر دیواری کد BG 581-1,                                در کاغذ دیواری سفارشی با طرح هایی مانند : شهر، جنگل، دریا، پرتره و ... کیفیت چاپ بسیار مهم می باشد چرا که حس وجود منظره ای دلنشین در منزل و محل کار را به شما القا می کند و همچنین این تصاویر می بایست نسبت به نور مقاوم بوده و قابل شستشو باشد. امروزه در دکوراسیون داخلی، بسیار از این کاغذ دیواری ها استفاده می شوند با جلوه زیباتر، جنس این کاغذهای دیواری ترکیبی از کاغذ، روکش های PVC و یا پلی اورتان می باشد که باعث کیفیت بی نظیر و شستشو پذیری این محصول می شود.,"['خانه و آشپزخانه', 'دکوراتیو', 'کفپوش و دیوارپوش', 'پوستر و کاغذ دیواری']",False
3270033,محافظ صفحه نمایش مات موناکو کد MA015 مناسب برای گوشی موبایل اپل iPhone 7 Plus بسته دو عددی,                                محافظ صفحه های مات تمامی عیوب گلس ها را حذف کرده و به جرأت می توان گفت که جزو بهترین ها در سطح جهانی می باشد. به این گلس ها در اصطلاح Anti-Glare گفته می شود؛ زیرا به سلامتی کاربر نگاه ویژه ای دارد. همه می دانیم که نور خیره کننده نمایشگر موبایل به مرور زمان آسیب های جبران ناپذیری به چشم وارد می کند که خوشبختانه گلس های مات از بازتاب این نور جلوگیری کرده تا سلامتی چشم های شما همچنان حفظ گردد. همچنین گلس محافظ مات دارای ویژگی ضد خش می باشد. سطح گلس بصورت کاملا مات طراحی شده تا چربی و اثر انگشت را جذب نکند؛ پس نیازی به تمیز کردن مدام صفحه نمایش نیست.,"['کالای دیجیتال', 'لوازم جانبی کالای دیجیتال', 'لوازم جانبی گوشی موبایل', 'محافظ صفحه نمایش گوشی']",True
3270034,کیف پول زنانه کد 010,,"['مد و پوشاک', 'زنانه', 'اکسسوری زنانه', 'کیف پول و کیف لوازم آرایش زنانه']",True
3270035,  آباژور رومیزی کد AB 1209,,"['خانه و آشپزخانه', 'دکوراتیو', 'چراغ خواب و آباژور']",False
3270038,چهارپایه مدل 104,                                در هر محلی که نیاز دارید میتوانید از این صندلی استفاده کنید وزن 1200 گرمی این صندلی حمل این صندلی را بسیار آسان و راحت کرده و ساختار پلیمر پلاستیک حداکثر توان مقاومتی را برای تحمل وزن تا 140 کیلو رو فراهم کرده و شما حتی میتونید این صندلی رو به عنوان چهارپایه برای رسیدن به طبقات بالایی کابینت استفاده کنید. این صندلی به صورت تاشو هست و برای استفاده در مسافرت بسیار مناسب و کم حجم هست. میتوانید از این صندلی در داخل منزل به عنوان چهارپایه برای برداشتن وسایل از طبقات بالایی کابینت و در خارج از منزل برای نشستن استفاده نمایید.,"['خانه و آشپزخانه', 'دکوراتیو', 'مبلمان خانگی', 'صندلی']",False
3270039,چهارپایه مدل 105,                                در هر محلی که نیاز دارید میتوانید از این صندلی استفاده کنید وزن 1200 گرمی این صندلی حمل این صندلی را بسیار آسان و راحت کرده و ساختار پلیمر پلاستیک حداکثر توان مقاومتی را برای تحمل وزن تا 140 کیلو رو فراهم کرده و شما حتی میتونید این صندلی رو به عنوان چهارپایه برای رسیدن به طبقات بالایی کابینت استفاده کنید. این صندلی به صورت تاشو هست و برای استفاده در مسافرت بسیار مناسب و کم حجم هست. میتوانید از این صندلی در داخل منزل به عنوان چهارپایه برای برداشتن وسایل از طبقات بالایی کابینت و در خارج از منزل برای نشستن استفاده نمایید.,"['خانه و آشپزخانه', 'دکوراتیو', 'مبلمان خانگی', 'صندلی']",False
3270040,کاور مدل MT-01 مناسب برای گوشی موبایل سامسونگ Galaxy A310 / A3 2016,,"['کالای دیجیتال', 'لوازم جانبی کالای دیجیتال', 'لوازم جانبی گوشی موبایل', 'کیف و کاور گوشی']",True
